asin,title,price,rating,image,product_url,ad_or_organic
B0DZDDQ429,,"₹93,900",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTE1MTk0MTA2NTY4NTkyOjE3NjMxODQyNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ5OTQ1MzM0NzQzMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDQ429%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DZDDQ429%26pd_rd_r%3Def1ab363-923f-43b0-98cc-8f8299082b84%26pd_rd_w%3DKrHsn%26pd_rd_wg%3DvnuYo%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DY2EDZS4Y9WRN3YGM6MSN%26qid%3D1763184277%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DzsKjVxuqwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zsKjVxuqwq&sp_cr=ZAZ,Organic
B0DZDDQ429,,,,,,Organic
B0DLJ7SJRK,,"₹2,79,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/613+7m34z2L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTE1MTk0MTA2NTY4NTkyOjE3NjMxODQyNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM5Mjk2MzMyNjkzMjo6MTo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-20%25E2%2580%2591core%2Fdp%2FB0DLJ7SJRK%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DLJ7SJRK%26pd_rd_r%3Def1ab363-923f-43b0-98cc-8f8299082b84%26pd_rd_w%3DKrHsn%26pd_rd_wg%3DvnuYo%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DY2EDZS4Y9WRN3YGM6MSN%26qid%3D1763184277%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DFYrZffTVjO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=FYrZffTVjO&sp_cr=ZAZ,Organic
B0DLJ7SJRK,,,,,,Organic
B0FWDBH2T2,,"₹2,02,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/615tKndaduL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTE1MTk0MTA2NTY4NTkyOjE3NjMxODQyNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDc5NDY5ODUxMTYzMjo6Mjo6&url=%2FApple-2025-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0FWDBH2T2%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FWDBH2T2%26pd_rd_r%3Def1ab363-923f-43b0-98cc-8f8299082b84%26pd_rd_w%3DKrHsn%26pd_rd_wg%3DvnuYo%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DY2EDZS4Y9WRN3YGM6MSN%26qid%3D1763184277%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3D1cHwUP0Uyl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=1cHwUP0Uyl&sp_cr=ZAZ,Organic
B0FWDBH2T2,,,,,,Organic
B0DLJ82ZMT,,"₹2,01,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTE1MTk0MTA2NTY4NTkyOjE3NjMxODQyNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM5Mjk2MzMyNjQzMjo6Mzo6&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLJ82ZMT%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DLJ82ZMT%26pd_rd_r%3Def1ab363-923f-43b0-98cc-8f8299082b84%26pd_rd_w%3DKrHsn%26pd_rd_wg%3DvnuYo%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DY2EDZS4Y9WRN3YGM6MSN%26qid%3D1763184277%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DoQS4QU8hBn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=oQS4QU8hBn&sp_cr=ZAZ,Organic
B0DLJ82ZMT,,,,,,Organic
B0F637DPFW,,"₹55,901",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71Q6JmLZE7L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTE1MTk0MTA2NTY4NTkyOjE3NjMxODQyNzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU2OTY5NDMwMzUzMjo6NDo6&url=%2FLenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN%2Fdp%2FB0F637DPFW%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F637DPFW%26pd_rd_r%3Def1ab363-923f-43b0-98cc-8f8299082b84%26pd_rd_w%3DKrHsn%26pd_rd_wg%3DvnuYo%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DY2EDZS4Y9WRN3YGM6MSN%26qid%3D1763184277%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DY1CSiZgkEb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=Y1CSiZgkEb&sp_cr=ZAZ,Organic
B0F637DPFW,,,,,,Organic
